;Load_0;Load_1;Load_2;Load_3;Load_4;Load_5;Load_6;Load_7;Load_8;Load_9;Load_10;Load_11;Load_12
29;-1881.2258404195152;-1881.2258404195152;-1881.2258404195152;-1881.2258404195152;-1881.2258404195152;-1881.2258404195152;-1881.2258404195152;-1881.2258404195152;-1881.2258404195152;-1881.2258404195152;-1881.2258404195152;-1881.2258404195152;-1881.2258404195152
30;-606.9611334506565;-606.9611334506565;-606.9611334506565;-606.9611334506565;-606.9611334506565;-606.9611334506565;-606.9611334506565;-606.9611334506565;-606.9611334506565;-606.9611334506565;-606.9611334506565;-606.9611334506565;-606.9611334506565
31;-537.6384568406846;-537.6384568406846;-537.6384568406846;-537.6384568406846;-537.6384568406846;-537.6384568406846;-537.6384568406846;-537.6384568406846;-537.6384568406846;-537.6384568406846;-537.6384568406846;-537.6384568406846;-537.6384568406846
32;-2026.3352308058;-2026.3352308058;-2026.3352308058;-2026.3352308058;-2026.3352308058;-2026.3352308058;-2026.3352308058;-2026.3352308058;-2026.3352308058;-2026.3352308058;-2026.3352308058;-2026.3352308058;-2026.3352308058
33;-3848.599373423425;-3848.599373423425;-3848.599373423425;-3848.599373423425;-3848.599373423425;-3848.599373423425;-3848.599373423425;-3848.599373423425;-3848.599373423425;-3848.599373423425;-3848.599373423425;-3848.599373423425;-3848.599373423425
34;-5009.85144949723;-5009.85144949723;-5009.85144949723;-5009.85144949723;-5009.85144949723;-5009.85144949723;-5009.85144949723;-5009.85144949723;-5009.85144949723;-5009.85144949723;-5009.85144949723;-5009.85144949723;-5009.85144949723
35;-6973.5911832682295;-6973.5911832682295;-6973.5911832682295;-6973.5911832682295;-6973.5911832682295;-6973.5911832682295;-6973.5911832682295;-6973.5911832682295;-6973.5911832682295;-6973.5911832682295;-6973.5911832682295;-6973.5911832682295;-6973.5911832682295
36;-9584.166223697915;-9584.166223697915;-9584.166223697915;-9584.166223697915;-9584.166223697915;-9584.166223697915;-9584.166223697915;-9584.166223697915;-9584.166223697915;-9584.166223697915;-9584.166223697915;-9584.166223697915;-9584.166223697915
37;-11691.123377039932;-11691.123377039932;-11691.123377039932;-11691.123377039932;-11691.123377039932;-11691.123377039932;-11691.123377039932;-11691.123377039932;-11691.123377039932;-11691.123377039932;-11691.123377039932;-11691.123377039932;-11691.123377039932
38;-12331.18963012153;-12331.18963012153;-12331.18963012153;-12331.18963012153;-12331.18963012153;-12331.18963012153;-12331.18963012153;-12331.18963012153;-12331.18963012153;-12331.18963012153;-12331.18963012153;-12331.18963012153;-12331.18963012153
39;-13971.970606119792;-13971.970606119792;-13971.970606119792;-13971.970606119792;-13971.970606119792;-13971.970606119792;-13971.970606119792;-13971.970606119792;-13971.970606119792;-13971.970606119792;-13971.970606119792;-13971.970606119792;-13971.970606119792
40;-18740.23509496528;-18740.23509496528;-18740.23509496528;-18740.23509496528;-18740.23509496528;-18740.23509496528;-18740.23509496528;-18740.23509496528;-18740.23509496528;-18740.23509496528;-18740.23509496528;-18740.23509496528;-18740.23509496528
41;-29320.106892881944;-29320.106892881944;-29320.106892881944;-29320.106892881944;-29320.106892881944;-29320.106892881944;-29320.106892881944;-29320.106892881944;-29320.106892881944;-29320.106892881944;-29320.106892881944;-29320.106892881944;-29320.106892881944
