;Tariff_mean;Tariff_max_1;Tariff_min_1;Tariff_max_2;Tariff_min_2;Tariff_max_3;Tariff_min_3
65;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
66;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
67;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
68;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
69;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
70;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
71;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
72;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
73;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
74;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
75;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
76;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
77;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
78;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
79;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
80;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
81;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
82;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
83;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
84;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
85;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
86;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
87;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
88;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
